"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",69,0,0,0,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",53,0,0,0,0,0,0,0,0,0
"2007",73,0,0,0,0,0,0,0,0,0
"2008",62,3,1,1,1,0,0,0,0,0
"2009",52,0,0,0,0,0,0,0,0,0
"2010",57,0,0,0,0,0,0,0,0,0
"2011",36,2,2,0,0,0,0,0,0,0
"2012",56,1,1,0,0,0,0,0,0,0
"2013",26,0,0,0,0,0,0,0,0,0
"2014",29,3,3,0,0,0,0,0,0,0
"2015",32,1,0,1,0,0,0,0,0,0
"2016",30,1,1,0,0,0,0,0,0,0
"2017",29,1,0,1,0,0,0,0,0,0
"2018",28,0,0,0,0,0,0,0,0,0
"2019",18,2,2,0,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",23,2,1,1,0,0,0,0,0,0
"2023",23,1,0,0,0,1,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
