"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",506,68,30,7,16,4,6,1,4,1
"2004",450,55,22,11,3,9,3,4,2,2
"2005",585,90,39,11,16,10,7,2,4,2
"2006",565,88,31,15,14,10,8,9,7,0
"2007",603,94,40,17,15,8,5,3,5,3
"2008",567,118,51,24,15,14,6,3,5,1
"2009",596,88,33,14,12,15,5,3,5,3
"2010",625,91,33,15,15,14,9,3,4,0
"2011",605,94,36,16,12,18,7,3,3,0
"2012",600,101,41,15,15,14,9,6,4,0
"2013",413,58,24,6,18,5,2,2,3,0
"2014",602,83,39,10,8,13,7,4,3,2
"2015",581,91,34,13,12,8,10,11,5,3
"2016",601,91,24,15,20,15,9,3,4,2
"2017",618,90,34,6,7,16,15,7,6,2
"2018",604,100,37,12,21,9,7,8,6,4
"2019",313,36,11,7,6,6,2,3,1,1
"2021",595,89,40,8,12,10,9,4,6,3
"2022",564,71,16,16,12,8,10,5,3,2
"2023",578,84,30,16,11,9,12,3,2,1
"2024",581,78,30,8,16,12,5,4,5,1
