Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,520,22,18,2,0,0,1,1,0,0,0,0,0
2004,450,20,12,2,2,0,0,0,0,0,1,0,2
2005,613,28,17,5,2,2,0,0,1,0,0,0,1
2006,604,36,26,1,3,0,0,0,0,0,0,0,5
2007,658,29,22,3,1,0,1,0,0,0,1,0,0
2008,636,44,36,2,2,0,1,1,1,0,0,0,0
2009,641,40,27,5,3,0,0,0,1,0,2,0,0
2010,669,44,28,5,3,4,1,0,0,0,1,0,1
2011,651,44,36,2,1,1,1,1,0,0,0,1,0
2012,653,43,32,2,1,2,1,1,0,0,0,0,2
2013,437,31,21,3,1,3,0,0,0,1,0,0,1
2014,640,38,21,6,1,2,1,0,0,0,3,0,3
2015,627,39,25,3,2,0,0,1,1,1,0,0,2
2016,658,34,24,4,0,3,1,0,0,1,0,0,0
2017,670,38,25,5,0,1,0,1,1,1,0,0,2
2018,656,45,27,3,3,1,1,1,1,1,1,0,4
2019,333,15,10,0,3,0,1,0,1,0,0,0,0
2021,645,39,26,5,2,0,0,1,0,1,1,1,1
2022,599,36,22,4,0,0,2,2,0,0,1,0,3
2023,621,41,28,3,5,3,0,1,0,0,0,0,0
2024,622,36,25,2,1,1,1,2,1,1,0,0,0
2025,663,36,25,3,2,1,1,0,0,0,0,0,2
Average across years,603,35,24,3,2,1,1,1,0,0,0,0,1
