"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",156,20,0,0,0,0
"2004",10,6,0,0,0,0
"2005",110,20,0,0,0,0
"2006",65,20,0,0,0,0
"2007",86,27,0,0,0,0
"2008",56,15,0,0,0,0
"2009",21,8,0,0,0,0
"2010",3,2,0,0,0,0
"2011",1,1,0,0,0,0
"2012",12,6,0,0,0,0
"2013",0,0,0,0,0,0
"2014",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2016",0,0,0,0,0,0
"2017",0,0,0,0,0,0
"2018",0,0,0,0,0,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
