"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",493,49,32,6,4,6,0,0,1,0
"2004",432,38,27,3,1,2,2,2,1,1
"2005",588,53,40,7,0,3,0,1,1,2
"2006",608,32,23,1,1,2,1,1,0,3
"2007",639,48,35,4,1,0,4,0,3,1
"2008",645,35,22,2,2,3,2,1,1,3
"2009",649,32,22,4,2,2,1,0,1,0
"2010",662,51,37,5,3,2,1,2,0,1
"2011",649,46,36,1,3,3,0,0,1,2
"2012",641,55,39,3,2,4,1,2,2,3
"2013",430,38,28,2,0,3,2,2,2,1
"2014",604,74,49,4,7,2,2,2,4,5
"2015",589,77,56,6,3,2,2,2,1,5
"2016",612,80,55,5,3,7,3,4,3,2
"2017",624,84,63,3,4,3,1,1,1,9
"2018",636,65,46,2,4,5,2,2,2,2
"2019",308,40,22,4,3,3,2,3,2,3
"2021",631,53,38,3,3,5,1,0,0,3
"2022",584,51,37,3,3,1,1,2,4,2
"2023",601,61,45,3,4,3,2,3,2,1
"2024",599,59,49,3,1,0,1,0,0,5
"2025",641,58,46,2,3,0,2,2,2,3
