"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",164,45,0,0,0,0
"2004",0,0,0,0,0,0
"2005",0,0,0,0,0,0
"2006",149,34,0,0,5,4
"2007",60,0,0,0,0,0
"2008",22,22,0,0,0,2
"2009",0,0,0,0,0,0
"2010",7,7,0,0,0,0
"2011",0,0,0,0,0,0
"2012",1,1,0,0,0,0
"2013",0,0,0,0,0,0
"2014",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2016",9,9,0,0,0,0
"2017",0,0,0,0,0,0
"2018",0,0,0,0,0,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
