"","species","2019","2021","2022","2023","2024"
"1","arrowtooth flounder",0,4,0,0,0
"2","aurora rockfish",0,4,0,0,0
"3","bank rockfish",0,0,0,0,10
"4","big skate",0,0,0,0,0
"5","black rockfish",0,0,0,0,0
"6","blackgill rockfish",0,0,0,0,11
"7","bronzespotted rockfish",0,0,0,0,0
"8","brown rockfish",0,0,0,0,0
"9","butter sole",0,0,0,0,0
"10","cabezon",0,0,0,0,0
"11","calico rockfish",0,0,0,0,0
"12","California scorpionfish",0,0,0,0,0
"13","California skate",0,0,0,0,0
"14","canary rockfish",0,0,0,0,0
"15","copper rockfish",0,0,0,0,0
"16","curlfin sole",0,0,0,0,0
"17","darkblotched rockfish",0,0,0,0,0
"18","deepsea sole",0,2,0,4,0
"19","Dover sole",2,4,0,2,2
"20","English sole",0,0,0,0,0
"21","flag rockfish",0,0,0,0,0
"22","flathead sole",0,0,0,0,0
"23","freckled rockfish",0,0,0,0,0
"24","giant grenadier",3,6,0,0,0
"25","gopher rockfish",0,0,0,0,0
"26","greenblotched rockfish",0,0,0,0,0
"27","greenspotted rockfish",0,0,0,0,0
"28","greenstriped rockfish",0,0,0,0,0
"29","halfbanded rockfish",0,0,0,0,0
"30","harlequin rockfish",0,0,0,0,0
"31","honeycomb rockfish",0,0,0,0,0
"32","kelp greenling",0,0,0,0,0
"33","kelp rockfish",0,0,0,0,0
"34","longnose skate",0,2,0,0,1
"35","longspine thornyhead",2,4,0,2,2
"36","Mexican rockfish",0,0,0,0,0
"37","olive rockfish",0,0,0,0,0
"38","Pacific cod",0,0,0,0,0
"39","Pacific flatnose",0,0,0,0,0
"40","Pacific grenadier",0,0,0,2,0
"41","Pacific hake",1,2,0,0,0
"42","Pacific ocean perch",0,0,0,0,0
"43","Pacific sanddab",0,0,0,0,0
"44","Pacific spiny dogfish",0,0,0,0,0
"45","petrale sole",0,0,0,0,0
"46","pink rockfish",0,0,0,0,0
"47","pinkrose rockfish",0,0,0,0,0
"48","Puget Sound rockfish",0,0,0,0,0
"49","pygmy rockfish",0,0,0,0,0
"50","quillback rockfish",0,0,0,1,0
"51","redbanded rockfish",0,0,0,0,3
"52","redstripe rockfish",0,0,0,0,0
"53","rex sole",3,2,0,0,0
"54","rosethorn rockfish",0,0,0,0,0
"55","rosy rockfish",0,0,0,0,0
"56","sablefish",5,12,0,4,1
"57","sand sole",0,0,0,0,0
"58","sharpchin rockfish",0,0,0,0,0
"59","shortbelly rockfish",0,0,0,0,0
"60","shortraker rockfish",0,0,0,0,1
"61","shortspine thornyhead",2,6,0,2,0
"62","silvergray rockfish",0,0,0,14,1
"63","soupfin shark",0,0,0,0,0
"64","southern rock sole",0,0,0,0,0
"65","speckled rockfish",0,0,0,0,0
"66","splitnose rockfish",0,0,0,0,0
"67","spotted ratfish",0,0,0,0,0
"68","squarespot rockfish",0,0,0,0,0
"69","starry flounder",0,0,0,0,0
"70","starry rockfish",0,0,0,0,0
"71","starry skate",0,0,0,0,0
"72","stripetail rockfish",0,0,0,0,0
"73","swordspine rockfish",0,0,0,0,0
"74","tiger rockfish",0,0,0,0,0
"75","tree rockfish",0,0,0,0,0
"76","widow rockfish",0,0,0,0,0
"77","yelloweye rockfish",16,2,3,1,5
"78","yellowmouth rockfish",0,0,0,0,0
