"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,1,0,0,0,0,0,0,0
"2004",61,1,1,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",52,1,1,0,0,0,0,0,0,0
"2007",70,3,3,0,0,0,0,0,0,0
"2008",63,2,0,2,0,0,0,0,0,0
"2009",51,1,1,0,0,0,0,0,0,0
"2010",56,1,1,0,0,0,0,0,0,0
"2011",38,0,0,0,0,0,0,0,0,0
"2012",56,1,1,0,0,0,0,0,0,0
"2013",26,0,0,0,0,0,0,0,0,0
"2014",32,0,0,0,0,0,0,0,0,0
"2015",32,1,1,0,0,0,0,0,0,0
"2016",30,1,1,0,0,0,0,0,0,0
"2017",30,0,0,0,0,0,0,0,0,0
"2018",28,0,0,0,0,0,0,0,0,0
"2019",20,0,0,0,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",24,1,1,0,0,0,0,0,0,0
"2023",24,0,0,0,0,0,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
