"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",490,52,13,4,5,6,7,4,3,12
"2004",437,33,13,6,1,1,3,0,0,9
"2005",606,35,21,3,1,2,0,1,2,6
"2006",597,43,23,2,4,2,1,1,2,8
"2007",652,35,16,6,3,2,1,1,1,5
"2008",654,26,8,2,4,2,2,2,2,6
"2009",642,39,25,1,1,3,2,1,1,6
"2010",670,43,33,2,3,0,1,2,1,2
"2011",646,49,22,7,4,1,0,2,1,13
"2012",655,41,18,3,4,5,1,2,6,4
"2013",430,38,21,3,4,2,0,1,2,6
"2014",623,55,29,4,2,5,4,2,2,7
"2015",613,53,23,6,3,4,4,3,1,10
"2016",636,56,31,7,5,2,1,1,2,8
"2017",656,52,26,4,6,4,3,0,0,9
"2018",654,47,24,6,3,3,2,1,1,7
"2019",315,33,22,0,3,2,0,1,2,3
"2021",627,57,32,3,4,3,3,2,2,9
"2022",598,37,23,3,1,2,1,1,0,6
"2023",621,41,29,1,3,0,0,1,1,6
"2024",608,50,24,0,4,3,3,2,3,13
"2025",660,39,17,6,4,5,0,0,1,6
