"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",274,0,0,0,0,0,0,0,0,0
"2004",223,0,0,0,0,0,0,0,0,0
"2005",296,0,0,0,0,0,0,0,0,0
"2006",292,0,0,0,0,0,0,0,0,0
"2007",332,0,0,0,0,0,0,0,0,0
"2008",298,0,0,0,0,0,0,0,0,0
"2009",290,2,2,0,0,0,0,0,0,0
"2010",300,0,0,0,0,0,0,0,0,0
"2011",314,0,0,0,0,0,0,0,0,0
"2012",306,0,0,0,0,0,0,0,0,0
"2013",220,0,0,0,0,0,0,0,0,0
"2014",311,0,0,0,0,0,0,0,0,0
"2015",282,1,1,0,0,0,0,0,0,0
"2016",308,1,1,0,0,0,0,0,0,0
"2017",319,2,2,0,0,0,0,0,0,0
"2018",305,0,0,0,0,0,0,0,0,0
"2019",161,0,0,0,0,0,0,0,0,0
"2021",301,1,0,1,0,0,0,0,0,0
"2022",275,0,0,0,0,0,0,0,0,0
"2023",297,0,0,0,0,0,0,0,0,0
"2024",310,0,0,0,0,0,0,0,0,0
"2025",314,0,0,0,0,0,0,0,0,0
